DATE,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,VOLUME,DAILY_RETURN,MA_7,52W_HIGH,52W_LOW,VOLATILITY
2025-04-22,20MICRONS,EQ,218.0,232.65,215.21,229.07,277000,0.050779816513761435,,235.6,209.01,0.038747584164169374
2025-04-23,20MICRONS,EQ,229.9,234.65,224.4,227.48,98360,-0.010526315789473753,,235.6,209.01,0.038747584164169374
2025-04-24,20MICRONS,EQ,228.0,235.6,225.05,230.8,123930,0.012280701754386015,,235.6,209.01,0.038747584164169374
2025-04-25,20MICRONS,EQ,232.0,232.0,217.35,218.76,158776,-0.057068965517241416,,235.6,209.01,0.038747584164169374
2025-04-28,20MICRONS,EQ,220.32,223.2,215.21,219.72,93335,-0.0027233115468409327,,235.6,209.01,0.038747584164169374
2025-04-29,20MICRONS,EQ,218.5,230.0,215.0,222.39,162691,0.01780320366132717,,235.6,209.01,0.038747584164169374
2025-04-30,20MICRONS,EQ,222.39,222.9,209.01,210.52,113893,-0.05337470209991446,222.67714285714285,235.6,209.01,0.038747584164169374
2025-04-22,21STCENMGM,EQ,79.05,79.08,76.51,78.89,4901,-0.0020240354206198176,,80.7,73.42,0.01069809628050732
2025-04-23,21STCENMGM,EQ,80.3,80.3,77.55,79.14,5501,-0.01444582814445824,,80.7,73.42,0.01069809628050732
2025-04-24,21STCENMGM,EQ,80.0,80.7,78.1,78.64,2934,-0.016999999999999994,,80.7,73.42,0.01069809628050732
2025-04-25,21STCENMGM,EQ,78.7,80.0,77.06,77.21,4412,-0.018932655654383852,,80.7,73.42,0.01069809628050732
2025-04-28,21STCENMGM,EQ,78.3,78.3,75.69,76.2,4834,-0.026819923371647438,,80.7,73.42,0.01069809628050732
2025-04-29,21STCENMGM,EQ,77.45,77.45,74.67,74.92,4001,-0.03266623628147193,,80.7,73.42,0.01069809628050732
2025-04-30,21STCENMGM,EQ,73.9,76.3,73.42,73.42,3006,-0.006495263870094776,76.91714285714285,80.7,73.42,0.01069809628050732
2025-04-22,360ONE,EQ,975.0,1024.0,953.0,1013.9,3326459,0.03989743589743588,,1068.9,947.0,0.035247586938787476
2025-04-23,360ONE,EQ,1020.0,1068.9,1019.95,1059.75,3333648,0.03897058823529412,,1068.9,947.0,0.035247586938787476
2025-04-24,360ONE,EQ,1058.0,1068.0,1008.0,1018.25,1961884,-0.03757088846880907,,1068.9,947.0,0.035247586938787476
2025-04-25,360ONE,EQ,1024.7,1024.7,965.8,971.7,1165532,-0.051722455352786176,,1068.9,947.0,0.035247586938787476
2025-04-28,360ONE,EQ,972.0,997.0,947.0,983.9,937547,0.01224279835390944,,1068.9,947.0,0.035247586938787476
2025-04-29,360ONE,EQ,984.0,996.7,976.6,983.05,731964,-0.0009654471544715909,,1068.9,947.0,0.035247586938787476
